"Date","Source","Site ID","POC","Daily Max 8-hour Ozone Concentration","Units","Daily AQI Value","Local Site Name","Daily Obs Count","Percent Complete","AQS Parameter Code","AQS Parameter Description","Method Code","CBSA Code","CBSA Name","State FIPS Code","State","County FIPS Code","County","Site Latitude","Site Longitude"
"01/01/2024","AQS","180190008","1","0.018","ppm","17","Charlestown State Park- 1051.8 meters East of SR 62/ Indiana armory","17","100.0000","44201","Ozone","047","31140","Louisville/Jefferson County, KY-IN","18","Indiana","019","Clark","38.3938222909186","-85.66411754"
"01/02/2024","AQS","180190008","1","0.022","ppm","20","Charlestown State Park- 1051.8 meters East of SR 62/ Indiana armory","17","100.0000","44201","Ozone","047","31140","Louisville/Jefferson County, KY-IN","18","Indiana","019","Clark","38.3938222909186","-85.66411754"
"01/03/2024","AQS","180190008","1","0.024","ppm","22","Charlestown State Park- 1051.8 meters East of SR 62/ Indiana armory","17","100.0000","44201","Ozone","047","31140","Louisville/Jefferson County, KY-IN","18","Indiana","019","Clark","38.3938222909186","-85.66411754"
"01/04/2024","AQS","180190008","1","0.025","ppm","23","Charlestown State Park- 1051.8 meters East of SR 62/ Indiana armory","17","100.0000","44201","Ozone","047","31140","Louisville/Jefferson County, KY-IN","18","Indiana","019","Clark","38.3938222909186","-85.66411754"
"01/05/2024","AQS","180190008","1","0.024","ppm","22","Charlestown State Park- 1051.8 meters East of SR 62/ Indiana armory","17","100.0000","44201","Ozone","047","31140","Louisville/Jefferson County, KY-IN","18","Indiana","019","Clark","38.3938222909186","-85.66411754"
"01/06/2024","AQS","180190008","1","0.019","ppm","18","Charlestown State Park- 1051.8 meters East of SR 62/ Indiana armory","17","100.0000","44201","Ozone","047","31140","Louisville/Jefferson County, KY-IN","18","Indiana","019","Clark","38.3938222909186","-85.66411754"
"01/07/2024","AQS","180190008","1","0.018","ppm","17","Charlestown State Park- 1051.8 meters East of SR 62/ Indiana armory","17","100.0000","44201","Ozone","047","31140","Louisville/Jefferson County, KY-IN","18","Indiana","019","Clark","38.3938222909186","-85.66411754"
"01/08/2024","AQS","180190008","1","0.028","ppm","26","Charlestown State Park- 1051.8 meters East of SR 62/ Indiana armory","17","100.0000","44201","Ozone","047","31140","Louisville/Jefferson County, KY-IN","18","Indiana","019","Clark","38.3938222909186","-85.66411754"
"01/09/2024","AQS","180190008","1","0.03","ppm","28","Charlestown State Park- 1051.8 meters East of SR 62/ Indiana armory","17","100.0000","44201","Ozone","047","31140","Louisville/Jefferson County, KY-IN","18","Indiana","019","Clark","38.3938222909186","-85.66411754"
"01/10/2024","AQS","180190008","1","0.024","ppm","22","Charlestown State Park- 1051.8 meters East of SR 62/ Indiana armory","17","100.0000","44201","Ozone","047","31140","Louisville/Jefferson County, KY-IN","18","Indiana","019","Clark","38.3938222909186","-85.66411754"
"01/11/2024","AQS","180190008","1","0.031","ppm","29","Charlestown State Park- 1051.8 meters East of SR 62/ Indiana armory","17","100.0000","44201","Ozone","047","31140","Louisville/Jefferson County, KY-IN","18","Indiana","019","Clark","38.3938222909186","-85.66411754"
"01/12/2024","AQS","180190008","1","0.034","ppm","31","Charlestown State Park- 1051.8 meters East of SR 62/ Indiana armory","17","100.0000","44201","Ozone","047","31140","Louisville/Jefferson County, KY-IN","18","Indiana","019","Clark","38.3938222909186","-85.66411754"
